region,bracket,guid,name,server,faction,class,spec,race,rating,ranking,wins,losses,winrate
EU,2v2,44486379,Luckyxs,Spineshatter,Horde,Rogue,Combat,Undead,3139,1,464,258,64
EU,2v2,44348534,Luckman,Spineshatter,Horde,Druid,Feral Combat,Tauren,3111,3,899,608,60
EU,2v2,48928895,Mahalin,Spineshatter,Horde,Druid,Balance,Tauren,3098,6,1054,802,57
EU,2v2,53263741,Arenatwo,Spineshatter,Alliance,Rogue,Subtlety,Human,3079,8,109,45,71
EU,2v2,53926905,Àrenaone,Spineshatter,Alliance,Rogue,Subtlety,Human,3079,8,109,45,71
EU,2v2,53529055,Remínd,Spineshatter,Horde,Rogue,Subtlety,Undead,3059,11,154,89,63
EU,2v2,45574371,Grùmpy,Spineshatter,Alliance,Priest,Discipline,Dwarf,3056,12,235,102,70
EU,2v2,54145097,Spittman,Spineshatter,Alliance,Druid,Feral Combat,Night Elf,3048,13,620,523,54
EU,2v2,47615213,Tazàr,Spineshatter,Horde,Warlock,Affliction,Orc,3026,16,191,61,76
EU,2v2,55740354,Luckrngodx,Spineshatter,Alliance,Rogue,Subtlety,Human,3015,20,660,549,55
EU,2v2,47267388,Painé,Spineshatter,Horde,Druid,Restoration,Tauren,3002,29,181,63,74
EU,2v2,52906995,Dogpatrol,Spineshatter,Horde,Warlock,Destruction,Undead,2996,35,123,58,68
EU,2v2,44177113,Derguez,Spineshatter,Alliance,Warrior,Arms,Gnome,2992,50,371,252,60
EU,2v2,44497704,Certifiedgoy,Spineshatter,Alliance,Druid,Restoration,Night Elf,2992,50,700,543,56
EU,2v2,54375338,Grumpyguy,Spineshatter,Horde,Priest,Discipline,Undead,2991,52,320,216,60
EU,2v2,56756940,Olisee,Spineshatter,Horde,Druid,Restoration,Tauren,2990,56,674,484,58
EU,2v2,57214860,Grumpydeux,Spineshatter,Alliance,Priest,Discipline,Dwarf,2989,60,129,60,68
EU,2v2,46903468,Jînz,Spineshatter,Alliance,Rogue,Combat,Human,2985,76,150,89,63
EU,2v2,53897368,Zowiru,Spineshatter,Alliance,Priest,Discipline,Dwarf,2980,89,144,90,62
EU,2v2,54311490,Bambäm,Spineshatter,Horde,Warrior,Arms,Orc,2933,108,237,173,58
EU,2v2,49282850,Momohdru,Spineshatter,Horde,Druid,Restoration,Tauren,2870,123,142,101,58
EU,2v2,43878027,Pireautiste,Spineshatter,Alliance,,,,2854,127,427,336,56
EU,2v2,71737751,Grumpyboy,Thunderstrike,Horde,Priest,Discipline,Undead,2841,134,388,308,56
EU,2v2,52339780,Jsuibouillon,Spineshatter,Horde,Rogue,Combat,Undead,2813,147,794,563,59
EU,2v2,53688449,Jînzy,Spineshatter,Alliance,Rogue,Subtlety,Human,2807,149,430,363,54
EU,2v2,55279673,Deathhörde,Spineshatter,Alliance,Warrior,Arms,Gnome,2803,151,180,137,57
EU,2v2,52399330,Shàrkyxd,Spineshatter,Horde,Rogue,Subtlety,Undead,2783,166,603,498,55
EU,2v2,43318356,Noope,Spineshatter,Alliance,Priest,Discipline,Dwarf,2757,179,1992,1681,54
