region,bracket,guid,name,server,faction,class,spec,race,rating,ranking,wins,losses,winrate
US,5v5,69922465,Slemmyx,Nightslayer,Alliance,Warlock,Demonology,Human,2358,15,79,8,91
US,5v5,77335327,Seíya,Nightslayer,Alliance,Priest,Discipline,Dwarf,2328,36,101,11,90
US,5v5,62185819,Pfdx,Nightslayer,Alliance,Warlock,Demonology,Human,2328,36,188,106,64
US,5v5,53828239,Alwaysresist,Nightslayer,Alliance,Mage,Frost,Gnome,2326,42,94,54,64
US,5v5,74246996,Moopzy,Nightslayer,Alliance,Mage,Frost,Human,2323,51,115,46,71
US,5v5,74261543,Makyoon,Nightslayer,Alliance,Shaman,Restoration,Draenei,2321,55,332,131,72
US,5v5,53886640,Shew,Nightslayer,Alliance,Rogue,Combat,Human,2319,63,99,55,64
US,5v5,72924191,Swåcked,Nightslayer,Alliance,Rogue,Combat,Human,2291,86,179,62,74
US,5v5,64431042,Relyzw,Nightslayer,Alliance,Warrior,Arms,Gnome,2193,130,124,52,70
US,5v5,78103409,Slemmÿ,Nightslayer,Horde,Warlock,Demonology,Orc,2172,157,40,13,75
US,5v5,77117405,Vavou,Nightslayer,Alliance,,,,2160,187,79,19,81
US,5v5,73833320,Limity,Nightslayer,Horde,Warlock,Demonology,Undead,2157,199,129,77,63
US,5v5,74295097,Edshearan,Nightslayer,Alliance,Shaman,Restoration,Draenei,2156,206,167,126,57
US,5v5,72915528,Baekho,Nightslayer,Alliance,Mage,Frost,Gnome,2150,227,159,25,86
US,5v5,73033109,Duelist,Nightslayer,Alliance,Warlock,Affliction,Gnome,2145,271,96,41,70
US,5v5,75425688,Schmoopsypoo,Nightslayer,Alliance,Shaman,Restoration,Draenei,2145,271,124,101,55
US,5v5,62193002,Backshotterx,Dreamscythe,Alliance,Rogue,Subtlety,Human,2145,271,152,97,61
US,5v5,67789477,Buriza,Nightslayer,Horde,Warrior,Fury,Orc,2136,336,393,304,56
US,5v5,72173647,Unbless,Nightslayer,Alliance,Priest,Discipline,Dwarf,2134,357,208,128,62
US,5v5,74448174,Kinkyssham,Nightslayer,Horde,,,,2133,363,192,143,57
US,5v5,54099959,Erpaderp,Nightslayer,Horde,Warrior,Arms,Orc,2133,363,203,139,59
US,5v5,62502477,Zanyuu,Nightslayer,Horde,Warrior,Arms,Orc,2132,373,218,166,57
US,5v5,54056642,Limitym,Nightslayer,Horde,Mage,Frost,Undead,2127,431,71,55,56
US,5v5,54585915,Ampedz,Nightslayer,Alliance,Hunter,Beast Mastery,Dwarf,2113,485,73,59,55
US,5v5,58378408,Shortwoman,Nightslayer,Alliance,Warrior,Arms,Gnome,2080,519,81,70,54
US,5v5,72911438,Shozzam,Nightslayer,Alliance,Shaman,Restoration,Draenei,2054,554,312,255,55
US,5v5,73959884,Darkhats,Nightslayer,Alliance,Warlock,Demonology,Human,2053,558,188,145,56
US,5v5,55132317,Mis,Nightslayer,Alliance,,,,2009,668,165,156,51
US,5v5,66799049,Widelatlarry,Nightslayer,Alliance,Mage,Frost,Gnome,1972,806,55,36,60
US,5v5,74214203,Wfbop,Nightslayer,Alliance,Shaman,Restoration,Draenei,1955,900,161,124,56
US,5v5,72892497,Sebgo,Nightslayer,Alliance,Druid,Restoration,Night Elf,1953,912,60,36,62
US,5v5,72840375,Gingerbunny,Nightslayer,Horde,Warrior,Arms,Orc,1950,930,208,173,55
US,5v5,73361474,Vèév,Nightslayer,Alliance,Priest,Discipline,Dwarf,1943,964,137,118,54
US,5v5,72855418,Rivn,Nightslayer,Alliance,Warrior,Fury,Gnome,1939,984,83,54,61
US,5v5,74137686,Rextko,Nightslayer,Horde,Paladin,Retribution,Blood Elf,1932,1042,36,14,72
US,5v5,69448951,Xysha,Nightslayer,Alliance,,,,1932,1042,26,1,96
US,5v5,55286350,Babespoon,Nightslayer,Alliance,Druid,Restoration,Night Elf,1931,1050,77,51,60
US,5v5,55955189,Olinimx,Nightslayer,Alliance,Rogue,Combat,Human,1928,1066,51,33,61
US,5v5,53714025,Dpsbot,Nightslayer,Alliance,Mage,Arcane,Gnome,1927,1075,73,48,60
US,5v5,74128895,Yallatbc,Nightslayer,Horde,Priest,Discipline,Undead,1927,1075,139,124,53
US,5v5,57937543,Nystine,Nightslayer,Horde,Mage,Arcane,Undead,1926,1086,136,122,53
US,5v5,77436104,Duelistw,Nightslayer,Alliance,Warlock,Demonology,Gnome,1908,1214,35,22,61
US,5v5,72628962,Runfromfear,Nightslayer,Alliance,Druid,Restoration,Night Elf,1908,1214,74,58,56
US,5v5,72229644,Farmerfredw,Nightslayer,Alliance,Warrior,Arms,Gnome,1900,1284,58,35,62
US,5v5,74309559,Lurkerbelow,Nightslayer,Alliance,Warlock,Demonology,Gnome,1877,1477,49,30,62
US,5v5,53886150,Bronco,Nightslayer,Horde,Warlock,Demonology,Orc,1862,1655,52,20,72
US,5v5,57957587,Laclapbombx,Nightslayer,Alliance,Rogue,Subtlety,Human,1858,1718,52,25,68
US,5v5,56530164,Dpsbotwo,Nightslayer,Alliance,Mage,Frost,Gnome,1858,1718,75,42,64
US,5v5,54483387,Lilshew,Nightslayer,Alliance,Warrior,Arms,Gnome,1850,1798,29,19,60
US,5v5,58319549,Blueshew,Nightslayer,Alliance,Mage,Arcane,Gnome,1849,1811,44,22,67
US,5v5,68094518,Nesaj,Nightslayer,Horde,Warrior,Fury,Orc,1846,1855,39,16,71
US,5v5,60796281,Olinimxo,Nightslayer,Alliance,Priest,Discipline,Dwarf,1843,1898,118,79,60
US,5v5,65496648,Heyitsjoe,Nightslayer,Alliance,Warrior,Arms,Human,1841,1912,92,41,69
US,5v5,64219862,Hukah,Nightslayer,Horde,Warrior,Fury,Orc,1831,2053,31,28,53
US,5v5,73017911,Slugjizz,Nightslayer,Alliance,Shaman,Restoration,Draenei,1800,2613,154,134,53
US,5v5,65704505,Tree,Nightslayer,Alliance,Druid,Restoration,Night Elf,1795,2739,21,12,64
US,5v5,61640459,Gayeric,Nightslayer,Alliance,Mage,Frost,Human,1789,2858,50,30,62
US,5v5,55171635,Parryshilton,Nightslayer,Alliance,Warrior,Arms,Human,1788,2872,61,50,55
US,5v5,59353082,Lowkirkryo,Nightslayer,Alliance,Priest,Discipline,Dwarf,1766,3351,36,20,64
US,5v5,77004825,Sebggo,Nightslayer,Horde,Druid,Restoration,Tauren,1762,3452,20,18,53
US,5v5,74712037,Peklv,Nightslayer,Alliance,Paladin,Protection,Human,1756,3581,103,60,63
US,5v5,69865049,Ginu,Nightslayer,Horde,Priest,Discipline,Undead,1747,3811,114,101,53
