region,bracket,guid,name,server,faction,class,spec,race,rating,ranking,wins,losses,winrate
EU,2v2,57348579,Petràxs,Spineshatter,Horde,,,,3080,1,330,117,74
EU,2v2,51863649,Mirok,Spineshatter,Horde,Druid,Restoration,Tauren,3072,4,174,44,80
EU,2v2,54841160,Spòttman,Spineshatter,Horde,,,,2998,12,859,539,61
EU,2v2,61175170,Enlightmee,Spineshatter,Alliance,Priest,Discipline,Dwarf,2980,14,659,355,65
US,2v2,73986941,Cripton,Nightslayer,Alliance,Mage,Frost,Gnome,2973,1,1211,815,60
EU,2v2,55440603,Qòxéq,Spineshatter,Horde,Priest,Discipline,Undead,2966,15,2983,2354,56
EU,2v2,65545406,Ronchonx,Spineshatter,Horde,Priest,Discipline,Undead,2955,19,308,174,64
EU,2v2,54411851,Powérmust,Spineshatter,Horde,Rogue,Subtlety,Undead,2948,24,292,167,64
EU,2v2,53549629,Powêrmust,Spineshatter,Horde,Rogue,Subtlety,Undead,2945,27,343,230,60
EU,2v2,55898652,Djcat,Spineshatter,Alliance,Priest,Discipline,Dwarf,2943,30,168,99,63
EU,2v2,42919725,Crtxd,Spineshatter,Alliance,Paladin,Holy,Dwarf,2937,35,190,123,61
EU,2v2,47466572,Valantain,Spineshatter,Horde,Rogue,Subtlety,Undead,2934,36,256,137,65
EU,2v2,49425721,Dikzyzquad,Spineshatter,Alliance,Warlock,Demonology,Human,2933,40,196,108,64
EU,2v2,43196882,Æçsrb,Spineshatter,Horde,Warlock,Demonology,Undead,2931,49,212,197,52
EU,2v2,52303399,Powermustx,Spineshatter,Alliance,Rogue,Subtlety,Human,2926,67,532,390,58
EU,2v2,57682650,Neepzdruid,Spineshatter,Horde,Druid,Restoration,Tauren,2926,67,442,263,63
EU,2v2,46677314,Zulpí,Spineshatter,Alliance,Rogue,Subtlety,Human,2924,76,511,425,55
EU,2v2,54297047,Retalia,Spineshatter,Horde,Priest,Discipline,Troll,2923,82,310,227,58
EU,2v2,42559328,Jixxo,Spineshatter,Alliance,Mage,Frost,Human,2922,83,334,189,64
EU,2v2,42909845,Promiscuousw,Spineshatter,Horde,Warlock,Demonology,Orc,2901,109,546,348,61
EU,2v2,45174585,Sandalimx,Spineshatter,Horde,Priest,Discipline,Troll,2893,110,515,402,56
EU,2v2,57286391,Freeland,Spineshatter,Horde,Mage,Frost,Undead,2870,117,709,666,52
EU,2v2,43939764,Níeze,Spineshatter,Horde,Priest,Discipline,Troll,2863,119,127,82,61
EU,2v2,52478941,Wâllirikz,Spineshatter,Horde,Warlock,Demonology,Undead,2863,119,127,82,61
US,2v2,78447587,Ronchon,Nightslayer,Alliance,Priest,Discipline,Dwarf,2861,18,606,466,57
US,2v2,78522739,Nëxïs,Nightslayer,Alliance,Rogue,Subtlety,Human,2858,20,262,171,61
US,2v2,78563369,Alexá,Nightslayer,Alliance,Druid,Restoration,Night Elf,2855,24,274,207,57
US,2v2,56670282,Niien,Nightslayer,Alliance,Druid,Restoration,Night Elf,2853,29,444,371,54
US,2v2,58621821,Earlsweats,Nightslayer,Alliance,Warrior,Arms,Gnome,2851,39,529,400,57
US,2v2,78026857,Kobeelol,Nightslayer,Alliance,Rogue,Subtlety,Human,2848,47,499,403,55
US,2v2,77882110,Cóoper,Nightslayer,Horde,Warrior,Arms,Orc,2836,79,307,204,60
US,2v2,78099989,Shingoat,Nightslayer,Horde,Rogue,Subtlety,Undead,2835,80,786,589,57
EU,2v2,58086353,Zetonitty,Spineshatter,Horde,Rogue,Subtlety,Undead,2834,129,337,260,56
US,2v2,77005311,Dpaspatur,Nightslayer,Horde,Priest,Discipline,Undead,2834,83,196,123,61
EU,2v2,52889309,Fivetrai,Spineshatter,Horde,Druid,Restoration,Tauren,2828,132,472,367,56
US,2v2,60985668,Crøwñchåsér,Nightslayer,Alliance,,,,2825,84,291,207,58
US,2v2,77292718,Popeshðw,Nightslayer,Alliance,Priest,Discipline,Dwarf,2809,85,364,196,65
EU,2v2,49489565,Gankalolz,Spineshatter,Alliance,Warlock,Demonology,Human,2761,161,111,70,61
US,2v2,67851720,Shaqlol,Nightslayer,Alliance,Rogue,Subtlety,Human,2721,112,162,108,60
EU,2v2,56967079,Krawnz,Spineshatter,Alliance,Priest,Discipline,Dwarf,2708,205,209,154,58
EU,2v2,57531506,Baldbraik,Spineshatter,Alliance,Mage,Frost,Gnome,2697,216,448,298,60
EU,5v5,59842089,Añbx,Spineshatter,Horde,,,,2688,2,196,11,95
EU,3v3,53878194,Aboveñbeyond,Spineshatter,Alliance,,,,2685,4,128,19,87
EU,2v2,52763839,Albraïk,Spineshatter,Horde,Mage,Frost,Undead,2684,231,328,203,62
EU,2v2,51481719,Isabellala,Spineshatter,Alliance,Rogue,Subtlety,Human,2680,234,868,724,55
EU,2v2,58154862,Steaksauce,Spineshatter,Horde,Druid,Feral Combat,Tauren,2675,242,260,212,55
EU,3v3,42648992,Lz,Spineshatter,Alliance,Mage,Frost,Gnome,2674,6,101,12,89
EU,2v2,55044736,Napoleøn,Spineshatter,Alliance,Warrior,Arms,Gnome,2670,247,1171,1108,51
EU,2v2,44204114,Scryna,Spineshatter,Horde,Warlock,Demonology,Undead,2663,254,286,188,60
US,2v2,77838442,Wezette,Nightslayer,Alliance,Druid,Restoration,Night Elf,2659,133,254,157,62
US,2v2,78400660,Putindehype,Nightslayer,Alliance,Rogue,Subtlety,Human,2658,135,434,376,54
