region,bracket,guid,old_name,new_name,server,class,spec,rating_old,rating_new,ranking_old,ranking_new
EU,2v2,54223347,Phluke,Sauroman,Spineshatter,Priest,Discipline,2588,2588,584,535
EU,2v2,53822216,Nostalgjia,Boomerdetect,Spineshatter,,,2922,2922,83,66
EU,2v2,65807375,Desolas,Gòatman,Spineshatter,Druid,Feral Combat,3080,3080,1,1
EU,2v2,61712046,Inqúis,Inquis,Spineshatter,Rogue,Combat,3018,3018,8,6
EU,2v2,45435458,Magiavende,Bené,Spineshatter,Mage,Arcane,2413,2413,891,824
EU,2v2,43847032,Claprabbit,Madhatter,Spineshatter,,,2647,2647,287,253
EU,5v5,47673493,Nokhilol,Sayanora,Spineshatter,Rogue,Subtlety,2060,2060,2002,1832
EU,2v2,57078006,Lebedenko,Azizoó,Spineshatter,Druid,Restoration,2292,2292,1283,1198
EU,2v2,66361418,Sugurugetô,Maïkey,Spineshatter,,,3002,3002,11,9
EU,2v2,57637389,Tàdx,Tâd,Spineshatter,Druid,Restoration,2103,2103,2523,2403
EU,2v2,58071748,Aerosparx,Meatsaber,Spineshatter,,,2647,2647,287,253
EU,2v2,65780608,Sneakylinkx,Unknownxd,Spineshatter,,,2645,2645,291,257
EU,2v2,50593116,Iñqúis,Pláýèr,Spineshatter,Rogue,Subtlety,2931,2931,49,37
EU,2v2,62455717,Gankstep,Rekteuhr,Spineshatter,Rogue,Subtlety,2030,2030,3369,3234
EU,5v5,65562913,Yàm,Turneditdown,Spineshatter,Warrior,Arms,1993,1993,3296,3116
EU,5v5,47903104,Coldapproach,Bratly,Spineshatter,Rogue,Subtlety,2041,2041,2214,2042
EU,5v5,55028332,Miitsuxd,Kuumatyttö,Spineshatter,Rogue,Combat,2266,2266,697,564
EU,5v5,45666558,Nïq,Niqz,Spineshatter,Priest,Discipline,2037,2037,2260,2088
EU,5v5,64642074,Aletheiia,Alettaa,Thunderstrike,Mage,Frost,1967,1967,3806,3618
US,2v2,79102013,Tyanoz,Djslampig,Dreamscythe,Warrior,Arms,1806,1806,4869,4703
US,2v2,78676204,Dwarfdraa,Adraà,Nightslayer,Priest,Holy,2010,2010,2206,2099
US,2v2,77800437,Røadtoisekai,Jayneway,Nightslayer,Mage,Frost,1813,1813,4726,4561
US,2v2,69740316,Tortaspanker,Alabamamañ,Nightslayer,Warrior,Arms,1875,1875,3767,3626
US,5v5,76900297,Nickyoqt,Zugginsadork,Nightslayer,Rogue,Subtlety,2458,2458,35,10
US,2v2,76892142,Purpskn,Vitaliz,Nightslayer,Priest,Shadow,2170,2170,1154,1068
US,3v3,77195601,Pubbyspuddy,Bitcónnect,Nightslayer,Mage,Arcane,2317,2317,271,229
US,2v2,77786745,Serialazx,Insomniaq,Nightslayer,Priest,Shadow,2235,2235,933,856
US,2v2,74141744,Neilyoqt,Oneglaivepls,Nightslayer,Rogue,Combat,2847,2847,57,50
US,2v2,65786848,Pokelink,Pokelinkz,Nightslayer,Mage,Frost,1814,1814,4708,4543
US,2v2,78075000,Ashdud,Hardmothr,Nightslayer,Druid,Restoration,1843,1843,4197,4041
US,2v2,72815821,Prîêst,Explicitlul,Nightslayer,Rogue,Combat,2527,2527,353,311
US,2v2,79009311,Belast,Brorick,Nightslayer,Warlock,Demonology,1841,1841,4226,4068
US,5v5,72063524,Dmtspirit,Ðade,Nightslayer,Priest,Discipline,2264,2264,378,305
US,3v3,58850271,Sxmple,Sadboylowko,Nightslayer,Rogue,Combat,1912,1912,2428,2264
US,5v5,72867113,Bigdossa,Klindas,Nightslayer,Warrior,Arms,2226,2226,704,601
US,2v2,66969030,Qrtrpounder,Youngjaé,Nightslayer,Druid,Restoration,2275,2275,828,753
US,2v2,79027799,Yvienne,Ruiñ,Nightslayer,Warlock,Affliction,2161,2161,1186,1100
US,5v5,73897709,Lildossa,Poocumpiss,Nightslayer,Warrior,Arms,2021,2021,1921,1755
US,5v5,77142851,Dumpyz,Downyz,Nightslayer,Shaman,Elemental,2270,2270,341,269
US,3v3,77773661,Manabern,Bigblaqdisc,Nightslayer,Priest,Discipline,1763,1763,4969,4752
US,5v5,78184807,Ridzshammy,Ventv,Nightslayer,Shaman,Elemental,1937,1937,3333,3139
US,5v5,69756600,Scotchbro,Mallystryx,Nightslayer,Warlock,Demonology,2179,2179,976,850
US,5v5,68094417,Asfihfwirhwr,Ashman,Nightslayer,Priest,Shadow,2043,2043,1646,1483
US,5v5,77834724,Qizo,Bohagon,Nightslayer,Mage,Arcane,2064,2064,1454,1300
US,5v5,74610931,Cafetao,Cxa,Nightslayer,Warrior,Arms,1881,1881,4770,4550
US,5v5,79740282,Braverz,Gömz,Nightslayer,Druid,Restoration,1900,1900,4237,4023
