region,bracket,guid,name,server,faction,class,spec,race,rating,ranking,wins,losses,winrate
US,5v5,74325772,Kahane,Nightslayer,Alliance,Priest,Discipline,Dwarf,2597,1,875,147,86
US,5v5,74669218,Joxibaba,Nightslayer,Alliance,Shaman,Restoration,Draenei,2579,2,1155,162,88
US,5v5,77492215,Blackfirêz,Nightslayer,Alliance,Mage,Frost,Gnome,2568,3,357,59,86
US,5v5,78558994,Onewhokñocks,Nightslayer,Alliance,,,,2530,4,476,69,87
US,5v5,55762652,Laynerzx,Nightslayer,Alliance,Mage,Frost,Gnome,2522,5,1177,150,89
US,5v5,77557832,Puffyz,Nightslayer,Alliance,Mage,Frost,Gnome,2518,6,135,22,86
US,5v5,77961565,Joxißaba,Nightslayer,Alliance,,,,2518,6,175,33,84
US,5v5,74907151,Kekla,Nightslayer,Alliance,Warrior,Arms,Human,2502,8,216,134,62
US,5v5,78099989,Shingoat,Nightslayer,Horde,Rogue,Subtlety,Undead,2501,9,300,65,82
US,5v5,78984291,Çørrûptiöñ,Nightslayer,Alliance,Warlock,Demonology,Human,2497,10,112,30,79
US,5v5,78395278,Snutzfive,Nightslayer,Horde,Warlock,Demonology,Undead,2495,11,232,66,78
US,5v5,73955358,Ggasura,Nightslayer,Alliance,Shaman,Restoration,Draenei,2494,12,75,9,89
US,5v5,78414758,Bîgcheese,Nightslayer,Alliance,Warlock,Demonology,Human,2492,14,430,77,85
US,5v5,77514337,Pokecent,Nightslayer,Horde,Mage,Frost,Undead,2484,16,477,204,70
US,5v5,77391289,Durtyl,Nightslayer,Alliance,Warlock,Demonology,Human,2479,18,79,16,83
US,5v5,77005311,Dpaspatur,Nightslayer,Horde,Priest,Discipline,Undead,2479,18,695,166,81
US,5v5,74667550,Apples,Nightslayer,Alliance,Shaman,Restoration,Draenei,2474,22,155,80,66
US,5v5,76983421,Allahxuakbar,Nightslayer,Alliance,Warlock,Demonology,Human,2474,22,864,130,87
US,5v5,74284030,Jozushka,Nightslayer,Alliance,Priest,Discipline,Dwarf,2471,25,431,76,85
US,5v5,75241024,Korlicz,Nightslayer,Alliance,Priest,Discipline,Dwarf,2467,27,198,33,86
US,5v5,78876989,Trezan,Nightslayer,Horde,Shaman,Restoration,Orc,2467,27,414,83,83
US,5v5,77315589,Hw,Nightslayer,Horde,Shaman,Elemental,Orc,2465,29,244,119,67
US,5v5,69686325,Police,Nightslayer,Alliance,Warrior,Fury,Human,2465,29,106,18,85
US,5v5,71649210,Bácktaxes,Nightslayer,Alliance,Warrior,Arms,Human,2465,29,150,29,84
US,5v5,67851720,Shaqlol,Nightslayer,Alliance,Rogue,Subtlety,Human,2459,33,77,26,75
US,5v5,77352164,Winnin,Nightslayer,Alliance,Rogue,Subtlety,Human,2457,36,148,27,85
US,5v5,70351467,Venumz,Nightslayer,Alliance,Rogue,Subtlety,Human,2456,37,77,6,93
US,5v5,77105533,Originaldsi,Nightslayer,Alliance,Shaman,Restoration,Draenei,2448,41,80,18,82
US,5v5,77128864,Topgkor,Nightslayer,Alliance,Shaman,Restoration,Draenei,2447,43,388,78,83
US,5v5,55961216,Stinkeelock,Nightslayer,Alliance,Warlock,Demonology,Gnome,2445,45,117,43,73
US,5v5,59888013,Choboski,Nightslayer,Horde,Shaman,Restoration,Orc,2444,50,97,33,75
US,5v5,64079707,Nexzo,Nightslayer,Horde,Warrior,Arms,Orc,2443,52,217,63,78
US,5v5,73425115,Tswizzyfan,Nightslayer,Alliance,Mage,Frost,Gnome,2442,57,92,29,76
US,5v5,78586085,Pantech,Nightslayer,Horde,Warlock,Demonology,Undead,2439,62,154,103,60
US,5v5,78919062,Moneysweet,Nightslayer,Alliance,Warlock,Demonology,Human,2438,63,117,63,65
US,5v5,59198611,Braevz,Nightslayer,Horde,Druid,Restoration,Tauren,2432,68,160,80,67
US,5v5,74674200,Keijuna,Nightslayer,Alliance,Priest,Discipline,Dwarf,2428,79,124,11,92
US,5v5,77292718,Popeshðw,Nightslayer,Alliance,Priest,Discipline,Dwarf,2428,79,161,67,71
US,5v5,75351494,Baziz,Nightslayer,Alliance,Mage,Frost,Gnome,2428,79,111,41,73
US,5v5,74544794,Jordgubbar,Nightslayer,Alliance,Rogue,Subtlety,Human,2426,84,114,40,74
US,5v5,60985668,Crøwñchåsér,Nightslayer,Alliance,,,,2426,84,99,38,72
US,5v5,78763373,Kekleta,Nightslayer,Alliance,Warrior,Arms,Gnome,2425,86,82,10,89
US,5v5,79004082,Samurashi,Nightslayer,Horde,Shaman,Restoration,Orc,2424,90,246,83,75
US,5v5,77481076,Keïjuñã,Nightslayer,Alliance,Shaman,Restoration,Draenei,2422,98,97,11,90
US,5v5,77907695,Bobrossganks,Nightslayer,Horde,Rogue,Subtlety,Orc,2422,98,101,20,83
US,5v5,77424472,Castercorner,Nightslayer,Horde,Warlock,Demonology,Orc,2421,103,99,39,72
US,5v5,78689880,Ymmels,Nightslayer,Alliance,Warlock,Demonology,Human,2417,121,61,14,81
US,5v5,78366066,Sonofnils,Nightslayer,Horde,Priest,Discipline,Undead,2416,125,360,209,63
US,5v5,54087265,Baelol,Nightslayer,Alliance,,,,2401,147,69,12,85
US,5v5,64195271,Itsbaelol,Nightslayer,Alliance,,,,2394,157,94,26,78
US,5v5,77709092,Jbarba,Nightslayer,Horde,Priest,Discipline,Undead,2387,163,90,29,76
US,5v5,73986941,Cripton,Nightslayer,Alliance,Mage,Frost,Gnome,2377,171,145,45,76
US,5v5,77882110,Cóoper,Nightslayer,Horde,Warrior,Arms,Orc,2352,183,233,96,71
US,5v5,75663156,Yourwifesman,Nightslayer,Horde,Warrior,Arms,Orc,2335,201,168,122,58
US,5v5,76927765,Ssgstrong,Nightslayer,Alliance,Rogue,Subtlety,Human,2332,205,54,33,62
US,5v5,75408222,Markrutzou,Nightslayer,Alliance,Warlock,Affliction,Human,2330,209,127,64,66
US,5v5,77721395,Dustychun,Nightslayer,Horde,Warlock,Demonology,Undead,2322,216,138,53,72
US,5v5,77777050,Saireyå,Nightslayer,Horde,Shaman,Restoration,Orc,2319,221,127,50,72
US,5v5,75117331,Raselqt,Nightslayer,Alliance,Warrior,Arms,Gnome,2317,223,135,59,70
US,5v5,79126547,Emmazen,Nightslayer,Horde,Rogue,Subtlety,Undead,2313,233,93,49,65
US,5v5,64289093,Wuwuwemonz,Nightslayer,Alliance,Hunter,Beast Mastery,Dwarf,2312,236,82,20,80
US,5v5,66624681,Treason,Nightslayer,Alliance,,,,2306,248,56,6,90
US,5v5,79385383,Eiisha,Nightslayer,Alliance,Shaman,Restoration,Draenei,2306,248,110,27,80
US,5v5,74442650,Cooperxz,Nightslayer,Alliance,Warrior,Fury,Human,2302,259,67,42,61
US,5v5,44416925,Conorlol,Dreamscythe,Alliance,Mage,Frost,Gnome,2300,263,105,77,58
US,5v5,58423344,Offdutyninja,Nightslayer,Horde,Rogue,Combat,Undead,2296,274,171,139,55
US,5v5,73832376,Dsquare,Nightslayer,Alliance,Rogue,Subtlety,Human,2295,276,111,54,67
US,5v5,46448975,Kkbytedance,Dreamscythe,Alliance,Mage,Frost,Gnome,2285,299,129,103,56
US,5v5,48333105,Conorlolxd,Dreamscythe,Alliance,Priest,Discipline,Dwarf,2280,311,92,64,59
US,5v5,72614019,Frostveiil,Nightslayer,Alliance,Mage,Frost,Gnome,2276,319,206,127,62
US,5v5,72859817,Wangwizard,Nightslayer,Alliance,Mage,Arcane,Gnome,2274,325,52,23,69
US,5v5,79410794,Évílínagød,Nightslayer,Horde,Warlock,Demonology,Orc,2272,331,98,39,72
US,5v5,58522278,Itsbae,Nightslayer,Horde,,,,2266,368,46,10,82
US,5v5,54643363,Kkbdcm,Dreamscythe,Alliance,Shaman,Enhancement,Draenei,2263,381,76,56,58
US,5v5,54635618,Skatjayjr,Dreamscythe,Alliance,Shaman,Restoration,Draenei,2262,383,124,81,60
US,5v5,77861889,Devilindukex,Nightslayer,Alliance,Rogue,Subtlety,Human,2254,445,98,40,71
US,5v5,61304094,Thuglivin,Nightslayer,Alliance,Mage,Frost,Gnome,2253,453,128,105,55
US,5v5,78156034,Fatherboof,Nightslayer,Alliance,Priest,Discipline,Dwarf,2251,463,96,70,58
US,5v5,77920417,Barassindani,Nightslayer,Horde,Priest,Discipline,Troll,2248,484,372,194,66
US,5v5,75411994,Tongkim,Nightslayer,Alliance,Warlock,Demonology,Human,2247,492,414,174,70
US,5v5,77136932,Exactor,Nightslayer,Alliance,Rogue,Subtlety,Human,2247,492,236,136,63
US,5v5,74490764,Pizazzc,Nightslayer,Alliance,Priest,Discipline,Dwarf,2247,492,284,144,66
US,5v5,74338279,Koreanbro,Nightslayer,Alliance,Shaman,Restoration,Draenei,2247,492,415,173,71
US,5v5,59807300,Pcc,Nightslayer,Horde,Priest,Discipline,Undead,2245,515,88,78,53
US,5v5,69252688,Demonkng,Nightslayer,Horde,Warlock,Demonology,Orc,2245,515,141,41,77
US,5v5,80215383,Timmi,Nightslayer,Horde,Paladin,Retribution,Blood Elf,2244,526,56,13,81
US,5v5,66666451,Netherdrake,Nightslayer,Horde,Rogue,Subtlety,Undead,2244,526,139,119,54
US,5v5,77873245,Whiittep,Nightslayer,Horde,Paladin,Retribution,Blood Elf,2242,542,309,238,56
US,5v5,73008743,Onlyyidao,Nightslayer,Alliance,Paladin,Retribution,Human,2242,542,143,113,56
US,5v5,78933243,Bubsjustlust,Nightslayer,Horde,Shaman,Restoration,Troll,2242,542,190,163,54
US,5v5,73088560,Thenorm,Nightslayer,Horde,Priest,Discipline,Undead,2241,560,224,196,53
US,5v5,72889289,Jibjobdruid,Nightslayer,Horde,Druid,Restoration,Tauren,2241,560,262,198,57
US,5v5,73014243,Dodgeyhodgey,Nightslayer,Horde,Warlock,Demonology,Undead,2241,560,445,209,68
US,5v5,75050126,Cixyqt,Nightslayer,Horde,Druid,Balance,Tauren,2240,577,78,60,57
US,5v5,73509347,Mopzi,Nightslayer,Horde,,,,2240,577,134,105,56
US,5v5,72849593,Nedia,Nightslayer,Horde,Paladin,Retribution,Blood Elf,2239,588,75,57,57
US,5v5,73032357,Bigdealbtw,Nightslayer,Alliance,Shaman,Elemental,Draenei,2237,605,99,63,61
US,5v5,80172207,Timmidwarf,Nightslayer,Alliance,Paladin,Retribution,Dwarf,2234,632,105,73,59
US,5v5,79147345,Wyplol,Nightslayer,Alliance,Warrior,Arms,Dwarf,2234,632,120,98,55
US,5v5,79453754,Dustw,Nightslayer,Alliance,Warlock,Demonology,Human,2233,649,94,37,72
US,5v5,73880576,Grasschaos,Nightslayer,Alliance,Shaman,Enhancement,Draenei,2232,653,183,152,55
US,5v5,75379836,Dyneema,Nightslayer,Horde,Druid,Restoration,Tauren,2230,673,135,92,59
US,5v5,79763589,Demonsniper,Nightslayer,Horde,Hunter,Beast Mastery,Orc,2229,685,102,66,61
US,5v5,76943375,Ðarkængel,Nightslayer,Horde,Priest,Discipline,Undead,2226,704,84,25,77
US,5v5,77990110,Radmeth,Nightslayer,Alliance,Shaman,Restoration,Draenei,2225,715,125,99,56
US,5v5,78777872,Unblêss,Nightslayer,Alliance,Priest,Discipline,Dwarf,2224,731,237,165,59
US,5v5,75405717,Twisgrass,Nightslayer,Alliance,Paladin,Retribution,Draenei,2224,731,348,288,55
US,5v5,69886012,Terrythescum,Nightslayer,Horde,Hunter,Beast Mastery,Orc,2223,748,320,283,53
US,5v5,78707022,Faustarchive,Nightslayer,Alliance,Shaman,Restoration,Draenei,2223,748,287,132,68
US,5v5,63965596,Reapersrage,Nightslayer,Alliance,Warrior,Arms,Dwarf,2223,748,113,92,55
US,5v5,79803814,Gweminator,Nightslayer,Alliance,Paladin,Retribution,Human,2223,748,304,152,67
US,5v5,54109127,Alpines,Nightslayer,Alliance,Rogue,Subtlety,Human,2222,761,123,109,53
US,5v5,80087851,Ssrw,Nightslayer,Alliance,Warrior,Arms,Dwarf,2221,769,263,135,66
US,5v5,65093793,Alors,Nightslayer,Alliance,Mage,Frost,Human,2217,812,89,58,61
US,5v5,77636416,Gardyloltwo,Nightslayer,Horde,Priest,Discipline,Undead,2213,860,164,131,56
US,5v5,78505046,Adamsandlerd,Nightslayer,Horde,Paladin,Retribution,Blood Elf,2212,868,143,116,55
US,5v5,79589388,Rokuj,Nightslayer,Horde,Rogue,Subtlety,Undead,2209,894,63,35,64
US,5v5,77026826,Goatclassx,Nightslayer,Alliance,Shaman,Enhancement,Draenei,2208,903,63,45,58
US,5v5,74092490,Shieldmonkey,Nightslayer,Horde,Priest,Discipline,Undead,2201,922,105,73,59
