region,bracket,guid,old_name,new_name,server,class,spec,rating_old,rating_new,ranking_old,ranking_new
EU,2v2,54223347,Phluke,Sauroman,Spineshatter,Priest,Discipline,2588,2588,584,535
EU,2v2,53822216,Nostalgjia,Boomerdetect,Spineshatter,,,2922,2922,83,66
EU,2v2,65807375,Desolas,Gòatman,Spineshatter,Druid,Feral Combat,3080,3080,1,1
EU,2v2,61712046,Inqúis,Inquis,Spineshatter,Rogue,Combat,3018,3018,8,6
EU,2v2,45435458,Magiavende,Bené,Spineshatter,Mage,Arcane,2413,2413,891,824
EU,2v2,43847032,Claprabbit,Madhatter,Spineshatter,,,2647,2647,287,253
EU,2v2,47673493,Nokhilol,Sayanora,Spineshatter,Rogue,Subtlety,2049,2049,3090,2962
EU,2v2,57078006,Lebedenko,Azizoó,Spineshatter,Druid,Restoration,2292,2292,1283,1198
EU,2v2,66361418,Sugurugetô,Maïkey,Spineshatter,,,3002,3002,11,9
EU,2v2,57637389,Tàdx,Tâd,Spineshatter,Druid,Restoration,2103,2103,2523,2403
EU,2v2,58071748,Aerosparx,Meatsaber,Spineshatter,,,2647,2647,287,253
EU,2v2,65780608,Sneakylinkx,Unknownxd,Spineshatter,,,2645,2645,291,257
EU,2v2,50593116,Iñqúis,Pláýèr,Spineshatter,Rogue,Subtlety,2931,2931,49,37
EU,2v2,62455717,Gankstep,Rekteuhr,Spineshatter,Rogue,Subtlety,2030,2030,3369,3234
