region,bracket,guid,old_name,new_name,server,class,spec,rating_old,rating_new,ranking_old,ranking_new
US,5v5,78676204,Dwarfdraa,Adraà,Nightslayer,Priest,Holy,1940,1940,3278,3085
US,5v5,78184807,Ridzshammy,Ventv,Nightslayer,Shaman,Elemental,1937,1937,3333,3139
US,5v5,69756600,Scotchbro,Mallystryx,Nightslayer,Warlock,Demonology,2179,2179,976,850
US,5v5,76900297,Nickyoqt,Zugginsadork,Nightslayer,Rogue,Subtlety,2458,2458,35,10
US,5v5,76892142,Purpskn,Vitaliz,Nightslayer,Priest,Shadow,2151,2151,1044,912
US,5v5,77195601,Pubbyspuddy,Bitcónnect,Nightslayer,Mage,Arcane,2007,2007,2245,2076
US,5v5,68094417,Asfihfwirhwr,Ashman,Nightslayer,Priest,Shadow,2043,2043,1646,1483
US,5v5,77834724,Qizo,Bohagon,Nightslayer,Mage,Arcane,2064,2064,1454,1300
US,5v5,72815821,Prîêst,Explicitlul,Nightslayer,Rogue,Combat,2359,2359,179,127
US,5v5,73897709,Lildossa,Poocumpiss,Nightslayer,Warrior,Arms,2021,2021,1921,1755
US,5v5,74610931,Cafetao,Cxa,Nightslayer,Warrior,Arms,1881,1881,4770,4550
US,5v5,72063524,Dmtspirit,Ðade,Nightslayer,Priest,Discipline,2264,2264,378,305
US,5v5,77142851,Dumpyz,Downyz,Nightslayer,Shaman,Elemental,2270,2270,341,269
US,5v5,72867113,Bigdossa,Klindas,Nightslayer,Warrior,Arms,2226,2226,704,601
US,5v5,79740282,Braverz,Gömz,Nightslayer,Druid,Restoration,1900,1900,4237,4023
